с,В
0.0006,2.1125
0.0113,2.1125
0.0222,2.1176
0.0330,2.1074
0.0438,2.1074
0.0544,2.1125
0.0651,2.1176
0.0758,2.1125
0.0865,2.1176
0.0972,2.1176
0.1079,2.1176
0.1185,2.1125
0.1293,2.1176
0.1400,2.1176
0.1508,2.1125
0.1615,2.1125
0.1724,2.1125
0.1832,2.1125
0.1941,2.1074
0.2049,2.1125
0.2156,2.1074
0.2263,2.1125
0.2372,2.1125
0.2479,2.1074
0.2585,2.1023
0.2692,2.1074
0.2798,2.1074
0.2905,2.1125
0.3011,2.1074
0.3118,2.1176
0.3225,2.1074
0.3332,2.1074
0.3438,2.1074
0.3545,2.1074
0.3651,2.1125
0.3758,2.1074
0.3865,2.1023
0.3978,2.1074
0.4085,2.1074
0.4191,2.1125
0.4377,2.1176
0.4483,2.1125
0.4590,2.1125
0.4697,2.1125
0.4803,2.1176
0.4910,2.1074
0.5016,2.1074
0.5124,2.1176
0.5230,2.1074
0.5336,2.1125
0.5443,2.1074
0.5549,2.1074
0.5656,2.1176
0.5763,2.1125
0.5869,2.1176
0.5976,2.1125
0.6083,2.1125
0.6190,2.1074
0.6296,2.1125
0.6403,2.1125
0.6509,2.1176
0.6616,2.1125
0.6723,2.1074
0.6829,2.1176
0.6936,2.1176
0.7042,2.1125
0.7149,2.1125
0.7255,2.1125
0.7362,2.1125
0.7469,2.1125
0.7576,2.1074
0.7682,2.1176
0.7790,2.1125
0.7896,2.1125
0.8003,2.1074
0.8110,2.1176
0.8217,2.1125
0.8324,2.1125
0.8431,2.1074
0.8537,2.1074
0.8645,2.1074
0.8751,2.1023
0.8858,2.1023
0.8964,2.1125
0.9071,2.1023
0.9178,2.1074
0.9285,2.1023
0.9391,2.1023
0.9498,2.0973
0.9605,2.1023
0.9711,2.1074
0.9818,2.0973
0.9924,2.0973
1.0032,2.1023
1.0139,2.1023
1.0245,2.0973
1.0352,2.0973
1.0459,2.0922
1.0565,2.1023
1.0672,2.0922
1.0778,2.0922
1.0885,2.0973
1.0991,2.0922
1.1098,2.0973
1.1204,2.0922
1.1311,2.0973
1.1422,2.0973
1.1529,2.0871
1.1635,2.0871
1.1742,2.0871
1.1849,2.0820
1.1956,2.0820
1.2063,2.0820
1.2169,2.0770
1.2276,2.0770
1.2383,2.0719
1.2490,2.0719
1.2597,2.0719
1.2703,2.0770
1.2810,2.0719
1.2916,2.0668
1.3023,2.0668
1.3129,2.0668
1.3236,2.0516
1.3342,2.0465
1.3449,2.0465
1.3555,2.0414
1.3662,2.0465
1.3769,2.0414
1.3877,2.0363
1.3983,2.0312
1.4090,2.0312
1.4197,2.0262
1.4304,2.0211
1.4411,2.0160
1.4517,2.0059
1.4624,2.0059
1.4731,1.9957
1.4838,1.9906
1.4944,1.9906
1.5051,1.9805
1.5157,1.9754
1.5264,1.9703
1.5371,1.9652
1.5477,1.9602
1.5584,1.9551
1.5691,1.9551
1.5797,1.9449
1.5904,1.9348
1.6011,1.9297
1.6118,1.9246
1.6227,1.9094
1.6334,1.9043
1.6441,1.8992
1.6548,1.8941
1.6655,1.8840
1.6761,1.8789
1.6868,1.8688
1.6975,1.8586
1.7082,1.8586
1.7190,1.8484
1.7296,1.8332
1.7403,1.8281
1.7509,1.8180
1.7616,1.8129
1.7728,1.7977
1.7834,1.7926
1.7941,1.7824
1.8048,1.7875
1.8156,1.7723
1.8263,1.7621
1.8370,1.7570
1.8477,1.7418
1.8584,1.7316
1.8690,1.7266
1.8797,1.7113
1.8903,1.7012
1.9009,1.6961
1.9116,1.6910
1.9222,1.6758
1.9328,1.6656
1.9436,1.6605
1.9542,1.6453
1.9649,1.6402
1.9755,1.6301
1.9862,1.6250
1.9969,1.6148
2.0075,1.6047
2.0182,1.5996
2.0288,1.5945
2.0395,1.5793
2.0501,1.5691
2.0608,1.5641
2.0715,1.5539
2.0822,1.5437
2.0929,1.5387
2.1035,1.5285
2.1142,1.5184
2.1248,1.5133
2.1355,1.4980
2.1461,1.4980
2.1568,1.4879
2.1675,1.4777
2.1781,1.4676
2.1888,1.4625
2.1995,1.4574
2.2102,1.4473
2.2208,1.4371
2.2316,1.4270
2.2427,1.4219
2.2534,1.4117
2.2641,1.4016
2.2747,1.3965
2.2854,1.3914
2.2960,1.3863
2.3067,1.3813
2.3174,1.3762
2.3281,1.3609
2.3387,1.3559
2.3494,1.3457
2.3600,1.3355
2.3707,1.3305
2.3814,1.3254
2.3921,1.3152
2.4027,1.3102
2.4134,1.3051
2.4240,1.2949
2.4347,1.2898
2.4454,1.2848
2.4560,1.2797
2.4667,1.2695
2.4773,1.2695
2.4880,1.2543
2.4987,1.2492
2.5094,1.2492
2.5200,1.2391
2.5307,1.2289
2.5414,1.2289
2.5522,1.2238
2.5629,1.2137
2.5735,1.2137
2.5842,1.2086
2.5949,1.1934
2.6055,1.1934
2.6162,1.1832
2.6268,1.1781
2.6375,1.1730
2.6482,1.1680
2.6588,1.1629
2.6695,1.1578
2.6802,1.1527
2.6908,1.1477
2.7015,1.1426
2.7122,1.1375
2.7228,1.1324
2.7335,1.1273
2.7441,1.1172
2.7548,1.1121
2.7654,1.1070
2.7761,1.1020
2.7868,1.0969
2.7974,1.0918
2.8082,1.0918
2.8190,1.0867
2.8297,1.0816
2.8403,1.0766
2.8510,1.0715
2.8616,1.0664
2.8723,1.0563
2.8829,1.0512
2.8937,1.0461
2.9043,1.0461
2.9150,1.0410
2.9256,1.0359
2.9363,1.0309
2.9470,1.0258
2.9577,1.0207
2.9683,1.0156
2.9790,1.0105
2.9897,1.0055
3.0003,1.0004
3.0110,1.0004
3.0222,0.9953
3.0328,0.9852
3.0435,0.9852
3.0542,0.9801
3.0649,0.9750
3.0755,0.9750
3.0862,0.9699
3.0968,0.9598
3.1075,0.9598
3.1181,0.9547
3.1288,0.9547
3.1395,0.9496
3.1501,0.9445
3.1608,0.9395
3.1714,0.9395
3.1821,0.9344
3.1928,0.9293
3.2034,0.9242
3.2141,0.9242
3.2247,0.9191
3.2354,0.9141
3.2461,0.9090
3.2567,0.9039
3.2673,0.9039
3.2780,0.8988
3.2886,0.8938
3.2993,0.8938
3.3100,0.8887
3.3206,0.8887
3.3313,0.8836
3.3420,0.8785
3.3527,0.8734
3.3633,0.8734
3.3740,0.8684
3.3846,0.8633
3.3953,0.8633
3.4059,0.8582
3.4166,0.8582
3.4273,0.8531
3.4379,0.8480
3.4486,0.8430
3.4592,0.8430
3.4699,0.8379
3.4805,0.8328
3.4912,0.8379
3.5018,0.8328
3.5125,0.8227
3.5231,0.8227
3.5338,0.8176
3.5444,0.8125
3.5551,0.8125
3.5657,0.8074
3.5764,0.8125
3.5871,0.8023
3.5977,0.8074
3.6084,0.7973
3.6190,0.7922
3.6297,0.7922
3.6403,0.7871
3.6510,0.7922
3.6616,0.7871
3.6723,0.7820
3.6829,0.7770
3.6936,0.7770
3.7043,0.7719
3.7149,0.7719
3.7256,0.7668
3.7362,0.7668
3.7469,0.7617
3.7575,0.7668
3.7682,0.7566
3.7788,0.7516
3.7895,0.7516
3.8001,0.7516
3.8108,0.7516
3.8214,0.7465
3.8321,0.7414
3.8427,0.7414
3.8534,0.7363
3.8640,0.7363
3.8747,0.7313
3.8853,0.7313
3.8960,0.7262
3.9066,0.7262
3.9173,0.7211
3.9279,0.7211
3.9386,0.7160
3.9492,0.7160
3.9599,0.7160
3.9705,0.7109
3.9812,0.7059
3.9918,0.7059
4.0025,0.7008
4.0131,0.7008
4.0238,0.7008
4.0345,0.7008
4.0451,0.6957
4.0558,0.6957
4.0665,0.6957
4.0772,0.6906
4.0879,0.6855
4.0986,0.6906
4.1093,0.6855
4.1200,0.6754
4.1307,0.6805
4.1414,0.6754
4.1521,0.6754
4.1629,0.6703
4.1736,0.6703
4.1842,0.6652
4.1949,0.6602
4.2055,0.6652
4.2162,0.6602
4.2268,0.6551
4.2375,0.6551
4.2481,0.6551
4.2588,0.6551
4.2695,0.6551
4.2801,0.6500
4.2908,0.6500
4.3014,0.6500
4.3121,0.6500
4.3228,0.6398
4.3334,0.6398
4.3441,0.6398
4.3547,0.6348
4.3654,0.6348
4.3761,0.6348
4.3867,0.6297
4.3974,0.6297
4.4080,0.6297
4.4187,0.6246
4.4293,0.6246
4.4400,0.6195
4.4506,0.6195
4.4613,0.6145
4.4719,0.6195
4.4826,0.6094
4.4932,0.6145
4.5039,0.6145
4.5145,0.6094
4.5252,0.6043
4.5358,0.6043
4.5465,0.5992
4.5572,0.5992
4.5678,0.5992
4.5785,0.5992
4.5891,0.5992
4.5998,0.5941
4.6105,0.5941
4.6211,0.5891
4.6318,0.5891
4.6424,0.5840
4.6530,0.5840
4.6637,0.5840
4.6743,0.5840
4.6850,0.5789
4.6956,0.5840
4.7063,0.5738
4.7169,0.5789
4.7276,0.5738
4.7383,0.5738
4.7490,0.5687
4.7596,0.5738
4.7703,0.5687
4.7809,0.5637
4.7916,0.5637
4.8023,0.5637
4.8131,0.5586
4.8237,0.5586
4.8344,0.5586
4.8450,0.5586
4.8557,0.5586
4.8663,0.5535
4.8770,0.5535
4.8876,0.5535
4.8983,0.5434
4.9089,0.5484
4.9196,0.5434
4.9302,0.5434
4.9409,0.5434
4.9516,0.5434
4.9622,0.5383
4.9729,0.5383
4.9835,0.5383
4.9942,0.5332
5.0048,0.5332
5.0155,0.5332
5.0262,0.5332
5.0368,0.5281
5.0475,0.5281
5.0582,0.5281
5.0688,0.5230
5.0794,0.5281
5.0901,0.5230
5.1008,0.5230
5.1115,0.5230
5.1221,0.5180
5.1327,0.5180
5.1434,0.5129
5.1541,0.5129
5.1647,0.5129
5.1754,0.5129
5.1861,0.5078
5.1968,0.5078
5.2074,0.5129
5.2181,0.5078
5.2287,0.5027
5.2394,0.5027
5.2500,0.5027
5.2607,0.4977
5.2713,0.5027
5.2820,0.4977
5.2926,0.4977
5.3033,0.4977
5.3140,0.4977
5.3247,0.4926
5.3353,0.4926
5.3460,0.4926
5.3566,0.4926
5.3673,0.4875
5.3779,0.4926
5.3886,0.4875
5.3993,0.4824
5.4099,0.4824
5.4205,0.4875
5.4312,0.4824
5.4418,0.4824
5.4525,0.4824
5.4632,0.4773
5.4738,0.4773
5.4844,0.4773
5.4951,0.4773
5.5057,0.4773
5.5164,0.4723
5.5271,0.4723
5.5377,0.4723
5.5484,0.4672
5.5590,0.4723
5.5697,0.4672
5.5803,0.4672
5.5910,0.4672
5.6016,0.4621
5.6123,0.4621
5.6229,0.4621
5.6336,0.4570
5.6442,0.4570
5.6549,0.4570
5.6656,0.4570
5.6762,0.4570
5.6869,0.4621
5.6975,0.4570
5.7082,0.4570
5.7188,0.4520
5.7295,0.4570
5.7401,0.4520
5.7508,0.4520
5.7614,0.4520
5.7721,0.4469
5.7827,0.4469
5.7934,0.4469
5.8040,0.4469
5.8147,0.4418
5.8254,0.4418
5.8360,0.4469
5.8467,0.4367
5.8573,0.4418
5.8680,0.4367
5.8786,0.4418
5.8893,0.4418
5.8999,0.4367
5.9106,0.4418
5.9212,0.4367
5.9319,0.4316
5.9425,0.4367
5.9532,0.4316
5.9638,0.4316
5.9745,0.4316
5.9852,0.4316
5.9958,0.4266
6.0065,0.4266
6.0171,0.4316
6.0278,0.4266
6.0384,0.4215
6.0491,0.4215
6.0598,0.4215
6.0704,0.4215
6.0811,0.3707
6.0917,0.4215
6.1024,0.4215
6.1130,0.4164
6.1237,0.4215
6.1343,0.4164
6.1450,0.4215
6.1556,0.4164
6.1663,0.4164
6.1770,0.4164
6.1877,0.4164
6.1983,0.4164
6.2090,0.4113
6.2196,0.4113
6.2303,0.4113
6.2410,0.4062
6.2517,0.4113
6.2624,0.4113
6.2730,0.4062
6.2837,0.4113
6.2944,0.4113
6.3051,0.4062
6.3158,0.4062
6.3265,0.4062
6.3371,0.4012
6.3478,0.4012
6.3585,0.4012
6.3692,0.4012
6.3799,0.4012
6.3906,0.4012
6.4014,0.4012
6.4121,0.4012
6.4228,0.4012
6.4334,0.3961
6.4441,0.3961
6.4547,0.3961
6.4654,0.3961
6.4760,0.3910
6.4867,0.3961
6.4973,0.3961
6.5080,0.3910
6.5186,0.3910
6.5293,0.3859
6.5400,0.3910
6.5506,0.3910
6.5613,0.3859
6.5719,0.3910
6.5826,0.3859
6.5932,0.3859
6.6039,0.3859
6.6146,0.3859
6.6252,0.3859
6.6359,0.3809
6.6465,0.3809
6.6572,0.3809
6.6678,0.3809
6.6785,0.3809
6.6891,0.3809
6.6998,0.3758
6.7104,0.3859
6.7211,0.3758
6.7317,0.3809
6.7424,0.3758
6.7530,0.3758
6.7637,0.3758
6.7744,0.3707
6.7850,0.3707
6.7957,0.3707
6.8064,0.3758
6.8173,0.3707
6.8280,0.3707
6.8386,0.3707
6.8493,0.3707
6.8599,0.3707
6.8706,0.3707
6.8812,0.3707
6.8919,0.3707
6.9025,0.3605
6.9132,0.3707
6.9239,0.3656
6.9346,0.3656
6.9452,0.3605
6.9559,0.3605
6.9665,0.3605
6.9772,0.3605
6.9878,0.3605
6.9985,0.3605
7.0092,0.3605
7.0198,0.3605
7.0305,0.3605
7.0411,0.3555
7.0518,0.3605
7.0625,0.3555
7.0731,0.3555
7.0838,0.3555
7.0944,0.3555
7.1051,0.3555
7.1157,0.3555
7.1264,0.3555
7.1371,0.3504
7.1477,0.3504
7.1584,0.3504
7.1690,0.3504
7.1797,0.3504
7.1903,0.3504
7.2010,0.3504
7.2116,0.3504
7.2223,0.3504
7.2330,0.3453
7.2437,0.3504
7.2543,0.3504
7.2650,0.3453
7.2756,0.3453
7.2863,0.3402
7.2970,0.3453
7.3077,0.3402
7.3185,0.3402
7.3292,0.3402
7.3398,0.3402
7.3505,0.3402
7.3612,0.3402
7.3718,0.3402
7.3825,0.3352
7.3931,0.3352
7.4038,0.3402
7.4145,0.3402
7.4251,0.3352
7.4358,0.3352
7.4465,0.3352
7.4571,0.3352
7.4678,0.3352
7.4784,0.3352
7.4890,0.3352
7.4998,0.3301
7.5105,0.3352
7.5211,0.3301
7.5318,0.3352
7.5425,0.3301
7.5531,0.3301
7.5638,0.3301
7.5745,0.3301
7.5851,0.3301
7.5958,0.3250
7.6065,0.3250
7.6171,0.3250
7.6278,0.3199
7.6384,0.3250
7.6491,0.3250
7.6597,0.3250
7.6704,0.3199
7.6811,0.3199
7.6917,0.3250
