с,В
0.0007,2.7117
0.0115,2.7219
0.0223,2.7168
0.0331,2.7168
0.0440,2.7117
0.0548,2.7117
0.0656,2.7270
0.0763,2.7168
0.0870,2.7168
0.0977,2.7219
0.1085,2.7117
0.1191,2.7168
0.1299,2.7219
0.1406,2.7168
0.1513,2.7117
0.1619,2.7117
0.1726,2.7168
0.1833,2.7219
0.1940,2.7219
0.2047,2.7117
0.2156,2.7219
0.2264,2.7219
0.2373,2.7168
0.2480,2.7117
0.2588,2.7168
0.2696,2.7117
0.2805,2.7168
0.2914,2.7117
0.3022,2.7066
0.3129,2.7117
0.3236,2.7117
0.3343,2.7066
0.3452,2.7117
0.3559,2.7117
0.3665,2.7117
0.3773,2.7219
0.3880,2.7168
0.3987,2.7168
0.4094,2.7117
0.4201,2.7168
0.4307,2.7117
0.4414,2.7168
0.4522,2.7270
0.4629,2.7270
0.4736,2.7168
0.4843,2.7117
0.4950,2.7168
0.5057,2.7117
0.5163,2.7066
0.5270,2.7066
0.5377,2.7117
0.5484,2.7117
0.5591,2.7066
0.5697,2.7270
0.5804,2.7117
0.5911,2.7270
0.6018,2.7066
0.6124,2.7117
0.6231,2.7117
0.6337,2.7117
0.6444,2.7117
0.6550,2.7270
0.6657,2.7117
0.6765,2.7117
0.6871,2.7117
0.6978,2.7168
0.7085,2.7117
0.7191,2.7066
0.7298,2.7066
0.7405,2.7168
0.7512,2.7168
0.7619,2.7117
0.7726,2.7066
0.7832,2.7066
0.7939,2.7117
0.8046,2.7117
0.8152,2.7066
0.8259,2.7066
0.8366,2.7168
0.8473,2.7066
0.8579,2.7066
0.8686,2.7066
0.8793,2.7066
0.8900,2.7066
0.9007,2.7117
0.9113,2.7066
0.9219,2.7016
0.9325,2.7016
0.9431,2.6965
0.9537,2.7016
0.9644,2.6965
0.9750,2.6965
0.9856,2.6914
0.9962,2.6965
1.0068,2.6914
1.0174,2.6914
1.0280,2.6863
1.0387,2.6812
1.0493,2.6812
1.0599,2.6812
1.0706,2.6711
1.0813,2.6762
1.0919,2.6660
1.1026,2.6609
1.1132,2.6609
1.1239,2.6559
1.1346,2.6609
1.1453,2.6559
1.1559,2.6457
1.1666,2.6355
1.1772,2.6355
1.1879,2.6355
1.1986,2.6305
1.2093,2.6203
1.2199,2.6152
1.2306,2.6102
1.2412,2.6051
1.2519,2.6000
1.2626,2.5848
1.2733,2.5848
1.2839,2.5797
1.2945,2.5695
1.3052,2.5594
1.3159,2.5594
1.3266,2.5543
1.3374,2.5492
1.3482,2.5340
1.3589,2.5238
1.3695,2.5137
1.3802,2.5035
1.3909,2.4984
1.4015,2.4883
1.4122,2.4730
1.4229,2.4680
1.4336,2.4527
1.4443,2.4426
1.4550,2.4375
1.4657,2.4172
1.4764,2.4121
1.4871,2.4020
1.4978,2.3918
1.5084,2.3766
1.5191,2.3613
1.5297,2.3512
1.5405,2.3461
1.5511,2.3258
1.5618,2.3207
1.5724,2.3105
1.5831,2.2953
1.5938,2.2852
1.6045,2.2699
1.6152,2.2598
1.6258,2.2496
1.6365,2.2344
1.6471,2.2242
1.6578,2.2141
1.6684,2.1988
1.6790,2.1836
1.6897,2.1734
1.7004,2.1582
1.7111,2.1531
1.7217,2.1277
1.7324,2.1227
1.7430,2.1074
1.7537,2.0973
1.7643,2.0871
1.7750,2.0719
1.7856,2.0566
1.7962,2.0465
1.8069,2.0363
1.8175,2.0211
1.8282,2.0109
1.8389,2.0008
1.8496,1.9855
1.8603,1.9703
1.8709,1.9602
1.8816,1.9449
1.8923,1.9348
1.9029,1.9246
1.9136,1.9145
1.9243,1.8992
1.9349,1.8891
1.9455,1.8840
1.9562,1.8738
1.9669,1.8535
1.9775,1.8484
1.9882,1.8332
1.9988,1.8281
2.0095,1.8180
2.0202,1.7977
2.0309,1.7875
2.0415,1.7773
2.0522,1.7672
2.0628,1.7570
2.0735,1.7520
2.0841,1.7367
2.0948,1.7316
2.1055,1.7164
2.1161,1.7063
2.1268,1.6961
2.1374,1.6859
2.1481,1.6758
2.1588,1.6707
2.1695,1.6605
2.1801,1.6504
2.1908,1.6402
2.2014,1.6301
2.2121,1.6250
2.2227,1.6098
2.2334,1.5996
2.2440,1.5945
2.2547,1.5844
2.2653,1.5742
2.2760,1.5742
2.2867,1.5590
2.2973,1.5488
2.3079,1.5437
2.3186,1.5285
2.3293,1.5285
2.3399,1.5184
2.3506,1.5082
2.3613,1.5031
2.3720,1.4930
2.3826,1.4828
2.3934,1.4777
2.4042,1.4727
2.4149,1.4625
2.4255,1.4523
2.4362,1.4473
2.4468,1.4371
2.4575,1.4320
2.4681,1.4270
2.4788,1.4219
2.4895,1.4117
2.5002,1.4016
2.5109,1.3965
2.5216,1.3914
2.5323,1.3762
2.5430,1.3813
2.5537,1.3711
2.5643,1.3609
2.5751,1.3508
2.5857,1.3457
2.5964,1.3406
2.6071,1.3355
2.6178,1.3305
2.6285,1.3203
2.6392,1.3203
2.6498,1.3102
2.6604,1.3051
2.6711,1.2949
2.6817,1.2898
2.6925,1.2848
2.7105,1.2746
2.7211,1.2695
2.7317,1.2645
2.7424,1.2543
2.7530,1.2492
2.7639,1.2492
2.7745,1.2391
2.7852,1.2289
2.7959,1.2289
2.8065,1.2238
2.8172,1.2188
2.8278,1.2137
2.8405,1.2086
2.8512,1.2035
2.8619,1.1984
2.8730,1.1883
2.8837,1.1832
2.8943,1.1781
2.9051,1.1730
2.9157,1.1680
2.9264,1.1578
2.9370,1.1578
2.9477,1.1527
2.9583,1.1477
2.9690,1.1426
2.9796,1.1375
2.9904,1.1324
3.0011,1.1324
3.0118,1.1273
3.0224,1.1223
3.0331,1.1121
3.0438,1.1121
3.0544,1.1070
3.0651,1.0969
3.0757,1.0969
3.0865,1.0969
3.0983,1.0867
3.1090,1.0816
3.1197,1.0766
3.1303,1.0715
3.1505,1.0664
3.1612,1.0563
3.1718,1.0563
3.1825,1.0512
3.1931,1.0461
3.2038,1.0410
3.2145,1.0359
3.2251,1.0359
3.2359,1.0309
3.2465,1.0258
3.2572,1.0207
3.2679,1.0207
3.2786,1.0156
3.2892,1.0055
3.2999,1.0055
3.3106,1.0055
3.3212,1.0004
3.3319,1.0004
3.3426,0.9902
3.3533,0.9852
3.3640,0.9852
3.3747,0.9801
3.3853,0.9750
3.3960,0.9750
3.4067,0.9699
3.4174,0.9648
3.4280,0.9598
3.4387,0.9598
3.4494,0.9547
3.4600,0.9547
3.4707,0.9496
3.4813,0.9395
3.4920,0.9445
3.5026,0.9395
3.5133,0.9344
3.5240,0.9344
3.5362,0.9293
3.5477,0.9242
3.5584,0.9191
3.5712,0.9191
3.5819,0.9141
3.5926,0.9039
3.6033,0.9039
3.6140,0.9039
3.6246,0.8988
3.6353,0.8988
3.6459,0.8938
3.6566,0.8887
3.6673,0.8887
3.6780,0.8836
3.6886,0.8785
3.6993,0.8785
3.7099,0.8734
3.7206,0.8734
3.7312,0.8684
3.7419,0.8633
3.7526,0.8633
3.7633,0.8633
3.7739,0.8582
3.7846,0.8531
3.7953,0.8480
3.8061,0.8531
3.8168,0.8430
3.8275,0.8379
3.8382,0.8430
3.8491,0.8379
3.8598,0.8379
3.8757,0.8277
3.8869,0.8277
3.8976,0.8227
3.9093,0.8227
3.9199,0.8176
3.9307,0.8125
3.9413,0.8125
3.9520,0.8074
3.9634,0.8074
3.9741,0.8023
3.9848,0.8023
3.9954,0.7922
4.0061,0.7973
4.0168,0.7922
4.0274,0.7922
4.0389,0.7871
4.0495,0.7820
4.0602,0.7820
4.0709,0.7770
4.0825,0.7770
4.0932,0.7719
4.1039,0.7719
4.1145,0.7668
4.1252,0.7668
4.1359,0.7617
4.1465,0.7617
4.1572,0.7617
4.1678,0.7566
4.1785,0.7566
4.1892,0.7516
4.1999,0.7465
4.2106,0.7465
4.2334,0.7465
4.2440,0.7414
4.2547,0.7414
4.2665,0.7363
4.2772,0.7363
4.2879,0.7313
4.2985,0.7262
4.3092,0.7262
4.3199,0.7211
4.3307,0.7211
4.3426,0.7262
4.3533,0.7160
4.3640,0.7160
4.3765,0.7160
4.3872,0.7109
4.3980,0.7059
4.4087,0.7109
4.4194,0.7008
4.4333,0.7059
4.4440,0.7008
4.4594,0.6957
4.4701,0.6957
4.4807,0.6957
4.4914,0.6957
4.5020,0.6906
4.5154,0.6855
4.5261,0.6805
4.5367,0.6855
4.5479,0.6805
4.5586,0.6754
4.5693,0.6805
4.5844,0.6703
4.5951,0.6754
4.6058,0.6703
4.6165,0.6703
4.6273,0.6652
4.6380,0.6652
4.6488,0.6652
4.6610,0.6602
4.6717,0.6602
4.6824,0.6602
4.6930,0.6551
4.7037,0.6551
4.7144,0.6551
4.7251,0.6500
4.7358,0.6500
4.7465,0.6500
4.7572,0.6449
4.7679,0.6449
4.7785,0.6398
4.7892,0.6398
4.7999,0.6348
4.8105,0.6348
4.8212,0.6348
4.8319,0.6297
4.8426,0.6348
4.8533,0.6246
4.8640,0.6297
4.8747,0.6246
4.8853,0.6246
4.8960,0.6145
4.9066,0.6195
4.9172,0.6195
4.9279,0.6195
4.9385,0.6195
4.9505,0.6145
4.9612,0.6145
4.9718,0.6145
4.9825,0.6145
4.9931,0.6094
5.0038,0.6043
5.0144,0.6043
5.0251,0.5992
5.0358,0.6043
5.0464,0.5941
5.0571,0.5992
5.0677,0.5941
5.0791,0.5941
5.0898,0.5891
5.1004,0.5891
5.1111,0.5941
5.1217,0.5891
5.1324,0.5891
5.1430,0.5840
5.1551,0.5840
5.1658,0.5789
5.1764,0.5840
5.1870,0.5738
5.1977,0.5789
5.2083,0.5738
5.2189,0.5738
5.2296,0.5738
5.2403,0.5687
5.2509,0.5738
5.2616,0.5687
5.2722,0.5687
5.2828,0.5687
5.2934,0.5637
5.3041,0.5687
5.3150,0.5637
5.3255,0.5586
5.3362,0.5637
5.3469,0.5586
5.3580,0.5586
5.3686,0.5535
5.3793,0.5586
5.3899,0.5535
5.4005,0.5484
5.4111,0.5535
5.4218,0.5484
5.4324,0.5535
5.4430,0.5484
5.4536,0.5484
5.4642,0.5434
5.4748,0.5434
5.4855,0.5383
5.4961,0.5383
5.5071,0.5383
5.5177,0.5383
5.5283,0.5383
5.5389,0.5383
5.5495,0.5383
5.5601,0.5383
5.5708,0.5383
5.5814,0.5332
5.5920,0.5281
5.6026,0.5332
5.6133,0.5281
5.6239,0.5281
5.6345,0.5281
5.6452,0.5230
5.6558,0.5230
5.6665,0.5230
5.6772,0.5230
5.6878,0.5180
5.6985,0.5230
5.7093,0.5180
5.7199,0.5180
5.7306,0.5180
5.7413,0.5129
5.7520,0.5129
5.7626,0.5180
5.7733,0.5180
5.7841,0.5129
5.7949,0.5129
5.8055,0.5078
5.8162,0.5078
5.8268,0.5078
5.8375,0.5078
5.8483,0.5078
5.8589,0.5027
5.8695,0.5027
5.8801,0.5027
5.8908,0.4977
5.9014,0.5027
5.9120,0.5027
5.9226,0.4977
5.9333,0.4926
5.9439,0.4977
5.9545,0.4977
5.9652,0.4926
5.9758,0.4977
5.9864,0.4926
5.9971,0.4926
6.0079,0.4926
6.0185,0.4875
6.0292,0.4875
6.0398,0.4875
6.0504,0.4875
6.0610,0.4875
6.0717,0.4824
6.0823,0.4773
6.0929,0.4824
6.1035,0.4824
6.1141,0.4824
6.1247,0.4773
6.1354,0.4824
6.1460,0.4773
6.1566,0.4773
6.1673,0.4723
6.1779,0.4773
6.1885,0.4723
6.1992,0.4723
6.2099,0.4723
6.2206,0.4723
6.2313,0.4723
6.2419,0.4672
6.2526,0.4723
6.2633,0.4723
6.2740,0.4672
6.2846,0.4621
6.2953,0.4672
6.3060,0.4621
6.3166,0.4672
6.3273,0.4621
6.3381,0.4621
6.3491,0.4621
6.3598,0.4621
6.3705,0.4570
6.3812,0.4570
6.3920,0.4570
6.4027,0.4570
6.4134,0.4520
6.4241,0.4570
6.4349,0.4570
6.4456,0.4570
6.4563,0.4570
6.4671,0.4520
6.4778,0.4520
6.4887,0.4520
6.4994,0.4469
6.5101,0.4469
6.5208,0.4520
6.5315,0.4469
6.5422,0.4469
6.5528,0.4418
6.5635,0.4418
6.5742,0.4469
6.5849,0.4418
6.5956,0.4418
6.6063,0.4367
6.6170,0.4418
6.6277,0.4367
6.6384,0.4367
6.6491,0.4367
6.6599,0.4418
6.6706,0.4367
6.6813,0.4367
6.6921,0.4316
6.7028,0.4316
6.7135,0.4266
6.7242,0.4316
6.7349,0.4316
6.7456,0.4316
6.7563,0.4316
6.7671,0.4266
6.7778,0.4266
6.7885,0.4316
6.7992,0.4266
6.8100,0.4266
6.8208,0.4215
6.8316,0.4266
6.8423,0.4215
6.8531,0.4215
6.8638,0.4215
6.8745,0.4215
6.8852,0.4215
6.8959,0.4215
6.9066,0.4215
6.9173,0.4164
6.9280,0.4164
6.9387,0.4164
6.9494,0.4113
6.9601,0.4164
6.9708,0.4113
6.9815,0.4113
6.9922,0.4113
7.0029,0.4113
7.0136,0.4113
7.0243,0.4062
7.0350,0.4113
7.0457,0.4062
7.0564,0.4062
7.0672,0.4062
7.0786,0.4062
7.0894,0.4012
7.1001,0.4012
7.1108,0.4012
7.1214,0.4012
7.1321,0.4012
7.1429,0.4012
7.1536,0.4012
7.1643,0.3961
7.1749,0.4012
7.1856,0.3961
7.1963,0.3961
7.2070,0.3961
7.2177,0.3961
7.2283,0.3961
7.2390,0.3910
7.2497,0.3910
7.2604,0.3859
7.2711,0.3859
7.2817,0.3859
7.2924,0.3859
7.3030,0.3859
7.3137,0.3859
7.3244,0.3910
7.3351,0.3859
7.3459,0.3809
7.3566,0.3809
7.3673,0.3859
7.3780,0.3809
7.3886,0.3809
7.3993,0.3809
7.4100,0.3809
7.4208,0.3758
7.4314,0.3809
7.4422,0.3758
7.4529,0.3809
7.4636,0.3809
7.4744,0.3758
7.4851,0.3758
7.4958,0.3758
7.5066,0.3758
7.5173,0.3707
7.5280,0.3707
7.5387,0.3707
7.5493,0.3707
7.5600,0.3707
7.5707,0.3707
7.5814,0.3707
7.5921,0.3707
7.6029,0.3707
7.6135,0.3656
7.6242,0.3656
7.6349,0.3656
7.6456,0.3656
7.6563,0.3605
7.6669,0.3605
7.6776,0.3605
7.6884,0.3605
7.6991,0.3605
7.7099,0.3605
7.7206,0.3555
7.7314,0.3605
7.7422,0.3555
7.7530,0.3555
7.7637,0.3555
7.7744,0.3555
7.7851,0.3555
7.7958,0.3504
7.8065,0.3555
7.8172,0.3504
7.8279,0.3555
7.8386,0.3555
7.8495,0.3453
7.8603,0.3504
7.8710,0.3453
7.8817,0.3453
7.8923,0.3504
7.9031,0.3453
7.9138,0.3504
7.9244,0.3453
7.9351,0.3453
7.9458,0.3402
7.9565,0.3402
7.9671,0.3453
7.9778,0.3402
7.9885,0.3402
7.9992,0.3402
8.0099,0.3402
8.0206,0.3352
8.0313,0.3352
8.0421,0.3352
8.0528,0.3352
8.0634,0.3352
8.0741,0.3352
8.0848,0.3352
8.0955,0.3352
8.1062,0.3301
8.1169,0.3301
8.1275,0.3301
8.1382,0.3301
8.1489,0.3301
8.1596,0.3301
8.1703,0.3301
8.1809,0.3250
8.1916,0.3250
8.2023,0.3250
8.2130,0.3301
8.2237,0.3250
8.2344,0.3301
8.2451,0.3250
8.2558,0.3301
8.2666,0.3250
8.2772,0.3250
8.2879,0.3199
8.2986,0.3199
8.3093,0.3199
8.3200,0.3199
8.3308,0.3199
8.3415,0.3250
8.3522,0.3250
