с,В
3.5178,0.6094
3.5289,0.6094
3.5400,0.6094
3.5510,0.5992
3.5621,0.6043
3.5732,0.5992
3.5843,0.5992
3.5952,0.5992
3.6063,0.5941
3.6255,0.5891
3.6365,0.5840
3.6474,0.5840
3.6585,0.5789
3.6699,0.5840
3.6808,0.5789
3.6917,0.5738
3.7028,0.5738
3.7139,0.5687
3.7248,0.5687
3.7358,0.5637
3.7469,0.5687
3.7579,0.5586
3.7688,0.5637
3.7798,0.5586
3.7907,0.5535
3.8017,0.5535
3.8126,0.5484
3.8236,0.5484
3.8345,0.5484
3.8452,0.5434
3.8560,0.5434
3.8670,0.5383
3.8781,0.5383
3.8891,0.5332
3.9046,0.5332
3.9254,0.5332
3.9364,0.5281
3.9473,0.5281
3.9583,0.5230
3.9698,0.5230
3.9824,0.5180
3.9933,0.5180
4.0045,0.5180
4.0155,0.5129
4.0264,0.5129
4.0374,0.5078
4.0484,0.5078
4.0594,0.5078
4.0704,0.5027
4.0814,0.5027
4.0928,0.5027
4.1038,0.5027
4.1148,0.4977
4.1258,0.4977
4.1367,0.4977
4.1477,0.4926
4.1587,0.4875
4.1697,0.4926
4.1807,0.4875
4.1917,0.4824
4.2026,0.4875
4.2135,0.4824
4.2245,0.4824
4.2354,0.4773
4.2463,0.4773
4.2573,0.4773
4.2682,0.4773
4.2791,0.4773
4.2901,0.4723
4.3010,0.4723
4.3120,0.4723
4.3229,0.4672
4.3339,0.4672
4.3448,0.4621
4.3557,0.4621
4.3667,0.4621
4.3776,0.4621
4.3886,0.4570
4.3995,0.4570
4.4105,0.4570
4.4216,0.4570
4.4328,0.4520
4.4439,0.4520
4.4551,0.4520
4.4663,0.4469
4.4774,0.4469
4.4885,0.4469
4.4995,0.4469
4.5106,0.4418
4.5217,0.4418
4.5328,0.4418
4.5437,0.4418
4.5547,0.4418
4.5657,0.4367
4.5767,0.4367
4.5878,0.4316
4.5988,0.4316
4.6100,0.4316
4.6211,0.4367
4.6322,0.4266
4.6432,0.4316
4.6542,0.4266
4.6652,0.4266
4.6762,0.4266
4.6872,0.4215
4.6982,0.4215
4.7092,0.4164
4.7203,0.4215
4.7312,0.4164
4.7422,0.4164
