с,В
0.0000,1.1292
0.0006,1.1292
0.0012,1.1292
0.0017,1.1241
0.0024,1.1292
0.0029,1.1292
0.0035,1.1292
0.0040,1.1241
0.0046,1.1241
0.0051,1.1292
0.0057,1.1292
0.0062,1.1241
0.0068,1.1292
0.0073,1.1241
0.0079,1.1292
0.0084,1.1292
0.0090,1.1241
0.0095,1.1241
0.0101,1.1292
0.0106,1.1292
0.0112,1.1241
0.0117,1.1292
0.0123,1.1241
0.0129,1.1292
0.0134,1.1241
0.0140,1.1342
0.0145,1.1241
0.0151,1.1292
0.0159,1.1241
0.0164,1.1292
0.0170,1.1241
0.0176,1.1292
0.0181,1.1241
0.0187,1.1292
0.0192,1.1292
0.0198,1.1292
0.0203,1.1241
0.0209,1.1292
0.0215,1.1241
0.0221,1.1292
0.0227,1.1241
0.0232,1.1292
0.0238,1.1292
0.0244,1.1241
0.0250,1.1241
0.0255,1.1241
0.0261,1.1241
0.0267,1.1292
0.0272,1.1292
0.0278,1.1292
0.0284,1.1241
0.0289,1.1241
0.0295,1.1292
0.0300,1.1292
0.0306,1.1292
0.0311,1.1241
0.0317,1.1292
0.0322,1.1292
0.0328,1.1292
0.0333,1.1292
0.0339,1.1241
0.0344,1.1292
0.0350,1.1292
0.0355,1.1241
0.0361,1.1241
0.0366,1.1292
0.0372,1.1292
0.0377,1.1241
0.0383,1.1241
0.0389,1.1292
0.0394,1.1241
0.0400,1.1292
0.0405,1.1241
0.0411,1.1292
0.0416,1.1241
0.0422,1.1292
0.0523,1.1241
0.0529,1.1292
0.0535,1.1241
0.0541,1.1292
0.0547,1.1241
0.0552,1.1292
0.0558,1.1292
0.0564,1.1292
0.0569,1.1241
0.0575,1.1241
0.0581,1.1292
0.0586,1.1241
0.0592,1.1292
0.0598,1.1292
0.0604,1.1241
0.0610,1.1292
0.0615,1.1241
0.0621,1.1241
0.0627,1.1292
0.0633,1.1292
0.0639,1.1241
0.0645,1.1292
0.0651,1.1241
0.0657,1.1292
0.0663,1.1292
0.0668,1.1292
0.0674,1.1241
0.0680,1.1292
0.0685,1.1292
0.0691,1.1241
0.0697,1.1241
0.0703,1.1241
0.0709,1.1241
0.0715,1.1292
0.0720,1.1292
0.0726,1.1292
0.0732,1.1292
0.0737,1.1292
0.0743,1.1292
0.0749,1.1292
0.0755,1.1292
0.0760,1.1241
0.0766,1.1241
0.0772,1.1292
0.0778,1.1190
0.0783,1.1292
0.0789,1.1292
0.0795,1.1241
0.0801,1.1292
0.0807,1.1292
0.0813,1.1241
0.0818,1.1241
0.0824,1.1292
0.0830,1.1241
0.0836,1.1241
0.0842,1.1292
0.0848,1.1241
0.0854,1.1292
0.0859,1.1292
0.0865,1.1292
0.0871,1.1292
0.0877,1.1241
0.0884,1.1292
0.0890,1.1292
0.0896,1.1292
0.0902,1.1190
0.0908,1.1241
0.0913,1.1292
0.0919,1.1292
0.0925,1.1241
0.0931,1.1292
0.0936,1.1241
0.0942,1.1241
0.0948,1.1241
0.0954,1.1292
0.0960,1.1292
0.0965,1.1241
0.0971,1.1292
0.0977,1.1241
0.0983,1.1241
0.0989,1.1292
0.0995,1.1241
0.1000,1.1241
0.1006,1.1292
0.1012,1.1292
0.1018,1.1292
0.1024,1.1292
0.1030,1.1241
0.1035,1.1292
0.1041,1.1292
0.1047,1.1292
0.1053,1.1241
0.1059,1.1292
0.1065,1.1241
0.1071,1.1241
0.1076,1.1190
0.1082,1.1241
0.1088,1.1241
0.1094,1.1292
0.1100,1.1292
0.1106,1.1292
0.1112,1.1241
0.1118,1.1292
0.1124,1.1292
0.1130,1.1241
0.1137,1.1241
0.1143,1.1292
0.1149,1.1241
0.1155,1.1241
0.1161,1.1241
0.1167,1.1241
0.1173,1.1292
0.1179,1.1342
0.1186,1.1241
0.1192,1.1241
0.1197,1.1241
0.1203,1.1292
0.1209,1.1241
0.1215,1.1241
0.1221,1.1292
0.1227,1.1292
0.1234,1.1241
0.1240,1.1190
0.1245,1.1241
0.1251,1.1241
0.1257,1.1292
0.1262,1.1292
0.1268,1.1241
0.1273,1.1292
0.1279,1.1241
0.1285,1.1241
0.1290,1.1292
0.1296,1.1241
0.1302,1.1292
0.1308,1.1292
0.1313,1.1292
0.1319,1.1241
0.1325,1.1241
0.1331,1.1292
0.1337,1.1241
0.1343,1.1292
0.1349,1.1292
0.1355,1.1241
0.1361,1.1292
0.1367,1.1292
0.1375,1.1241
0.1382,1.1292
0.1389,1.1292
0.1395,1.1241
0.1402,1.1292
0.1408,1.1241
0.1415,1.1292
0.1421,1.1292
0.1427,1.1292
0.1433,1.1241
0.1439,1.1292
0.1445,1.1241
0.1451,1.1241
0.1457,1.1241
0.1463,1.1292
0.1469,1.1241
0.1475,1.1241
0.1482,1.1241
0.1488,1.1292
0.1494,1.1241
0.1500,1.1241
0.1506,1.1292
0.1512,1.1241
0.1518,1.1292
0.1524,1.1292
0.1530,1.1241
0.1536,1.1241
0.1542,1.1241
0.1548,1.1241
0.1553,1.1292
0.1559,1.1292
0.1565,1.1241
0.1570,1.1190
0.1576,1.1292
0.1581,1.1292
0.1587,1.1241
0.1593,1.1241
0.1599,1.1292
0.1604,1.1190
0.1610,1.1292
0.1616,1.1292
0.1622,1.1241
0.1628,1.1292
0.1634,1.1241
0.1641,1.1241
0.1648,1.1241
0.1655,1.1241
0.1661,1.1292
0.1667,1.1241
0.1673,1.1292
0.1679,1.1292
0.1684,1.1292
0.1690,1.1292
0.1695,1.1241
0.1701,1.1241
0.1706,1.1241
0.1712,1.1241
0.1717,1.1292
0.1722,1.1292
0.1728,1.1292
0.1733,1.1241
0.1739,1.1292
0.1744,1.1292
0.1749,1.1292
0.1755,1.1241
0.1760,1.1292
0.1765,1.1292
0.1771,1.1241
0.1776,1.1292
0.1781,1.1241
0.1787,1.1241
0.1792,1.1292
0.1798,1.1241
0.1803,1.1292
0.1809,1.1292
0.1814,1.1292
0.1820,1.1241
0.1825,1.1241
0.1831,1.1241
0.1836,1.1292
0.1842,1.1241
0.1849,1.1292
0.1855,1.1241
0.1860,1.1241
0.1866,1.1292
0.1872,1.1292
0.1877,1.1241
0.1883,1.1241
0.1889,1.1241
0.1895,1.1241
0.1901,1.1241
0.1906,1.1241
0.1912,1.1241
0.1918,1.1241
0.1923,1.1241
0.1929,1.1292
0.1934,1.1241
0.1939,1.1292
0.1945,1.1241
0.1950,1.1292
0.1955,1.1292
0.1960,1.1241
0.1966,1.1241
0.1971,1.1292
0.1977,1.1241
0.1982,1.1241
0.1987,1.1292
0.1993,1.1292
0.1998,1.1241
0.2003,1.1292
0.2008,1.1292
0.2014,1.1241
0.2019,1.1241
0.2025,1.1292
0.2031,1.1292
0.2036,1.1292
0.2042,1.1292
0.2047,1.1292
0.2053,1.1241
0.2059,1.1190
0.2065,1.1241
0.2070,1.1292
0.2076,1.1292
0.2082,1.1292
0.2087,1.1292
0.2093,1.1241
0.2099,1.1241
0.2105,1.1241
0.2111,1.1241
0.2117,1.1241
0.2122,1.1190
0.2128,1.1292
0.2134,1.1241
0.2140,1.1292
0.2146,1.1292
0.2153,1.1292
0.2159,1.1241
0.2165,1.1292
0.2171,1.1241
0.2177,1.1292
0.2183,1.1241
0.2189,1.1241
0.2195,1.1292
0.2201,1.1292
0.2207,1.1241
