с,В
-6.667609800652418e-06,1.640608200982085
0.0007000713591738353,1.6395891708872012
0.001399580921015195,1.638597686071132
0.0020856982317845264,1.6376857303404309
0.0027548956175706767,1.6369245494997182
0.0034066444540372803,1.636394330355659
0.004043445868223082,1.6361594279101166
0.004670636954232139,1.6362407828152103
0.0052960720385025264,1.636599202475952
0.005929561823027947,1.6371337199362161
0.006581630330463303,1.6376923456134806
0.007261235227253469,1.6380969814777357
0.007972841321496851,1.6381892722496085
0.008714123482195076,1.6378928983550143
0.00947579564394153,1.637263907869828
0.010244286164601905,1.6364904310845054
0.011006523853185759,1.6358260562115234
0.011754713080913626,1.635484512385451
0.012488591705433804,1.6355512734849678
0.013213820348421248,1.6359566758658848
0.013937333302302625,1.6365165156125212
0.014662299393702094,1.6370113063659908
0.015385567054009848,1.6372652506461334
0.01609894292215217,1.6371981062204002
0.016793345009226968,1.636841197076381
0.017463222472508966,1.6363205641219114
0.018108672324612253,1.635816276127129
0.018734313745849464,1.6355104679962618
0.019346016666291904,1.6355353519352975
0.019947670441114417,1.6359279945930774
0.020539784715217533,1.6366007035513102
0.02112032898745928,1.6373448403241027
0.02168686113621409,1.6378846778754046
0.022238493574503762,1.6379744508701062
0.02277670765583845,1.6375009533577698
0.02330489046482673,1.6365430282216467
0.0238270979797337,1.6353568314640374
0.024346748592638107,1.634289152900451
0.02486584759913286,1.6336539777048094
0.02538503652565972,1.63362534817013
0.025904343812122654,1.6341897351130799
0.026424202008277314,1.6351675469013154
0.02694624380213535,1.6362817315224731
0.02747350907227,1.637242532127476
0.028009874161679896,1.6378253796464595
0.0285588030644003,1.637925417878493
0.029121912087366864,1.6375736294417749
0.029698062467807086,1.6369080007727208
0.03028347493108716,1.636112861588285
0.03087279681493498,1.6353553830300804
0.031460554327026845,1.634744925976647
0.03204231938407135,1.6343232421195486
0.03261522427194702,1.6340785535378952
0.03317790135798054,1.6339728838641507
0.033730184878362955,1.6339732437856287
0.03427287384543941,1.634074589785559
0.03480766937024802,1.6342997367481684
0.035337253451074614,1.634670905093667
0.03586540672301491,1.6351696646281384
0.03639699686091846,1.6357167628967055
0.03693757832873732,1.6361902056205164
0.03749234805186236,1.6364674650992537
0.03806447738534307,1.6364614593279216
0.03865336383705306,1.6361380934779128
0.03925376129804476,1.6355277640618429
0.03985660631518635,1.6347387613544115
0.040451565810522304,1.6339556996702889
0.04103034182250818,1.6333998166895751
0.041589262107916726,1.6332539447361785
0.042130026215589096,1.6335867552085648
0.04265843647953064,1.634317545130029
0.0431818913582691,1.6352403398325774
0.04370680643052201,1.6360940072688033
0.0442368828949535,1.6366454540952733
0.04477260803423183,1.6367547425394378
0.045311888043757194,1.636405731474099
0.045851381570990356,1.6356980563073282
0.04638793444124736,1.6348030056719605
0.046919580689607984,1.6338978855186366
0.047445884420438074,1.633110194236329
0.0479677690981923,1.6325028493364542
0.04848714311453672,1.6321021857738136
0.049006509719108575,1.6319349711521272
0.04952856191502661,1.632036148085483
0.05005571782908136,1.6324196920842482
0.05058961118971926,1.633038395947137
0.05113061031024751,1.6337659720352995
0.051677520511191524,1.6344187136765627
0.05222770316692704,1.634812259642354
0.052777730766327156,1.6348325168366644
0.05332435959805303,1.6344908414721855
0.053865351718603884,1.6339350284719003
0.05439978125938,1.6334019786087919
0.05492780576707564,1.6331229119530726
0.0554502049170058,1.6332192687131462
0.05596811932087978,1.633640815868141
