с,В
0.1912,1.7368
0.1918,1.7368
0.1923,1.7317
0.1929,1.7267
0.1934,1.7368
0.1939,1.7317
0.1945,1.7317
0.1951,1.7368
0.1957,1.7368
0.1963,1.7267
0.1968,1.7368
0.1974,1.7317
0.1987,1.7368
0.1994,1.7317
0.2000,1.7419
0.2006,1.7419
0.2012,1.7368
0.2018,1.7368
0.2024,1.7368
0.2030,1.7267
0.2036,1.7317
0.2043,1.7317
0.2049,1.7368
0.2055,1.7317
0.2062,1.7368
0.2069,1.7368
0.2076,1.7317
0.2083,1.7368
0.2090,1.7368
0.2096,1.7368
0.2102,1.7368
0.2108,1.7317
0.2114,1.7317
0.2120,1.7368
0.2126,1.7368
0.2131,1.7368
0.2137,1.7368
0.2143,1.7368
0.2149,1.7368
0.2155,1.7368
0.2161,1.7368
0.2168,1.7317
0.2173,1.7317
0.2179,1.7368
0.2185,1.7368
0.2191,1.7419
0.2196,1.7368
0.2202,1.7368
0.2207,1.7368
0.2213,1.7317
0.2218,1.7267
0.2223,1.7368
0.2229,1.7368
0.2234,1.7317
0.2239,1.7368
0.2245,1.7267
0.2250,1.7368
0.2256,1.7317
0.2262,1.7368
0.2268,1.7317
0.2273,1.7368
0.2279,1.7368
0.2284,1.7317
0.2290,1.7317
0.2295,1.7317
0.2301,1.7368
0.2306,1.7368
0.2311,1.7419
0.2316,1.7368
0.2322,1.7267
0.2327,1.7368
0.2333,1.7317
0.2339,1.7267
0.2344,1.7317
0.2350,1.7368
0.2355,1.7368
0.2360,1.7317
0.2366,1.7368
0.2371,1.7368
0.2376,1.7267
0.2382,1.7368
0.2387,1.7317
0.2392,1.7317
0.2398,1.7267
0.2403,1.7317
0.2408,1.7317
0.2415,1.7368
0.2421,1.7368
0.2426,1.7317
0.2432,1.7368
0.2438,1.7317
0.2443,1.7317
0.2448,1.7267
0.2453,1.7368
0.2459,1.7368
0.2464,1.7368
0.2469,1.7368
0.2475,1.7317
0.2480,1.7368
0.2489,1.7368
0.2495,1.7317
0.2500,1.7368
0.2505,1.7368
0.2511,1.7267
0.2516,1.7317
0.2521,1.7317
0.2526,1.7368
0.2532,1.7317
0.2537,1.7368
0.2542,1.7317
0.2547,1.7368
0.2552,1.7368
0.2558,1.7368
0.2563,1.7368
0.2568,1.7317
0.2573,1.7368
0.2579,1.7368
0.2584,1.7368
0.2590,1.7368
0.2595,1.7317
0.2600,1.7368
0.2606,1.7317
0.2611,1.7368
0.2616,1.7368
0.2621,1.7317
0.2627,1.7368
0.2632,1.7368
0.2637,1.7317
0.2642,1.7317
0.2648,1.7317
0.2653,1.7368
0.2658,1.7368
0.2663,1.7317
0.2669,1.7317
0.2674,1.7317
0.2710,1.7368
0.2715,1.7267
0.2721,1.7317
0.2727,1.7368
0.2732,1.7368
0.2738,1.7317
0.2743,1.7368
0.2749,1.7368
0.2754,1.7368
0.2759,1.7317
0.2765,1.7368
0.2770,1.7368
0.2775,1.7317
0.2780,1.7317
0.2786,1.7368
0.2791,1.7368
0.2796,1.7368
0.2801,1.7317
0.2807,1.7267
0.2813,1.7317
0.2818,1.7317
0.2825,1.7317
0.2830,1.7368
0.2835,1.7368
0.2841,1.7368
0.2846,1.7317
0.2852,1.7368
0.2857,1.7368
0.2863,1.7368
0.2868,1.7317
0.2874,1.7317
0.2879,1.7368
0.2884,1.7317
0.2890,1.7317
0.2895,1.7368
0.2900,1.7368
0.2905,1.7317
