с,В
0.0000,1.6305
0.0006,1.6254
0.0011,1.6254
0.0016,1.6254
0.0021,1.6355
0.0027,1.6305
0.0032,1.6305
0.0037,1.6305
0.0042,1.6355
0.0048,1.6305
0.0053,1.6355
0.0058,1.6305
0.0063,1.6305
0.0068,1.6355
0.0074,1.6305
0.0079,1.6254
0.0084,1.6254
0.0089,1.6305
0.0095,1.6355
0.0100,1.6355
0.0105,1.6305
0.0110,1.6305
0.0116,1.6355
0.0121,1.6305
0.0126,1.6305
0.0131,1.6305
0.0137,1.6305
0.0142,1.6305
0.0148,1.6305
0.0153,1.6305
0.0159,1.6355
0.0164,1.6305
0.0169,1.6305
0.0174,1.6305
0.0179,1.6305
0.0185,1.6254
0.0190,1.6305
0.0195,1.6305
0.0200,1.6305
0.0206,1.6355
0.0211,1.6305
0.0216,1.6305
0.0221,1.6305
0.0227,1.6305
0.0232,1.6305
0.0238,1.6254
0.0243,1.6355
0.0249,1.6305
0.0254,1.6254
0.0260,1.6355
0.0265,1.6355
0.0271,1.6305
0.0276,1.6305
0.0282,1.6305
0.0287,1.6305
0.0292,1.6355
0.0297,1.6355
0.0303,1.6305
0.0308,1.6305
0.0314,1.6254
0.0319,1.6305
0.0324,1.6355
0.0330,1.6355
0.0348,1.6355
0.0354,1.6305
0.0359,1.6305
0.0365,1.6305
0.0370,1.6254
0.0376,1.6305
0.0381,1.6305
0.0386,1.6305
0.0392,1.6355
0.0397,1.6355
0.0402,1.6305
0.0408,1.6305
0.0413,1.6305
0.0419,1.6305
0.0424,1.6305
0.0430,1.6254
0.0435,1.6355
0.0441,1.6355
0.0446,1.6355
0.0452,1.6355
0.0457,1.6305
0.0463,1.6254
0.0469,1.6305
0.0474,1.6355
0.0480,1.6254
0.0487,1.6305
0.0493,1.6355
0.0499,1.6355
0.0505,1.6305
0.0510,1.6254
0.0516,1.6305
0.0522,1.6355
0.0527,1.6305
0.0533,1.6305
0.0538,1.6305
0.0544,1.6305
0.0549,1.6305
