с,В
30.1807,0.9039
30.1812,0.9770
30.1818,1.0391
30.1823,1.0822
30.1829,1.1004
30.1835,1.0923
30.1840,1.0629
30.1846,1.0238
30.1851,0.9894
30.1857,0.9739
30.1862,0.9861
30.1868,1.0279
30.1873,1.0930
30.1879,1.1690
30.1884,1.2409
30.1890,1.2959
30.1895,1.3266
30.1901,1.3317
30.1906,1.3148
30.1912,1.2819
30.1917,1.2398
30.1922,1.1957
30.1928,1.1561
30.1933,1.1266
30.1939,1.1106
30.1944,1.1085
30.1950,1.1179
30.1956,1.1350
30.1961,1.1561
30.1967,1.1783
30.1973,1.1986
30.1978,1.2135
30.1984,1.2197
30.1990,1.2164
30.1995,1.2069
30.2001,1.1968
30.2006,1.1920
30.2012,1.1944
30.2017,1.2017
30.2022,1.2090
30.2028,1.2122
30.2033,1.2099
30.2039,1.2043
30.2044,1.1997
30.2049,1.2009
30.2055,1.2123
30.2060,1.2372
30.2066,1.2766
30.2071,1.3269
30.2076,1.3802
30.2082,1.4250
30.2087,1.4507
30.2093,1.4514
30.2098,1.4286
30.2103,1.3906
30.2109,1.3493
30.2114,1.3151
30.2120,1.2937
30.2125,1.2858
30.2130,1.2885
30.2136,1.2983
30.2141,1.3120
30.2147,1.3274
30.2152,1.3427
30.2157,1.3565
30.2163,1.3680
30.2168,1.3768
30.2174,1.3824
30.2179,1.3835
30.2184,1.3777
30.2190,1.3641
30.2195,1.3457
30.2201,1.3306
30.2206,1.3285
30.2211,1.3461
30.2217,1.3823
30.2222,1.4284
30.2228,1.4711
30.2233,1.4979
30.2238,1.5023
30.2244,1.4857
30.2249,1.4576
30.2255,1.4315
30.2260,1.4208
30.2265,1.4332
30.2271,1.4681
30.2276,1.5167
30.2282,1.5649
30.2287,1.5978
30.2293,1.6055
30.2298,1.5856
30.2303,1.5452
30.2309,1.4977
30.2314,1.4579
30.2320,1.4369
30.2325,1.4378
30.2330,1.4554
30.2336,1.4789
30.2341,1.4970
30.2347,1.5021
30.2352,1.4934
30.2357,1.4762
30.2363,1.4596
30.2368,1.4517
30.2374,1.4564
30.2379,1.4712
30.2384,1.4891
30.2390,1.5020
30.2395,1.5045
30.2401,1.4961
30.2406,1.4813
30.2411,1.4674
30.2417,1.4605
30.2422,1.4628
30.2428,1.4714
30.2433,1.4799
30.2438,1.4823
30.2444,1.4761
30.2449,1.4631
30.2455,1.4490
30.2460,1.4406
30.2465,1.4442
30.2471,1.4637
30.2476,1.5004
30.2482,1.5522
30.2487,1.6129
30.2492,1.6729
30.2498,1.7223
30.2503,1.7546
30.2509,1.7693
30.2514,1.7715
30.2519,1.7690
30.2525,1.7693
30.2530,1.7768
30.2536,1.7924
30.2541,1.8125
30.2546,1.8312
30.2552,1.8420
30.2557,1.8414
30.2563,1.8302
30.2568,1.8127
30.2573,1.7939
30.2579,1.7777
30.2584,1.7658
30.2590,1.7592
30.2595,1.7585
30.2601,1.7635
30.2606,1.7713
30.2611,1.7758
30.2617,1.7701
30.2622,1.7493
30.2628,1.7143
30.2633,1.6729
30.2639,1.6377
30.2644,1.6228
30.2649,1.6380
30.2655,1.6844
30.2660,1.7515
30.2666,1.8197
30.2671,1.8662
30.2677,1.8743
30.2682,1.8408
30.2687,1.7778
30.2693,1.7085
30.2698,1.6580
30.2704,1.6424
30.2709,1.6622
30.2715,1.7032
30.2720,1.7441
30.2725,1.7665
30.2731,1.7640
30.2736,1.7432
30.2742,1.7202
30.2747,1.7110
30.2753,1.7249
30.2758,1.7609
30.2763,1.8106
30.2769,1.8627
30.2774,1.9077
30.2780,1.9390
30.2785,1.9523
30.2791,1.9443
30.2796,1.9137
30.2801,1.8627
30.2807,1.7990
30.2812,1.7349
30.2818,1.6833
30.2823,1.6542
30.2829,1.6508
30.2834,1.6700
30.2839,1.7052
30.2845,1.7488
30.2850,1.7947
30.2856,1.8379
30.2861,1.8735
30.2867,1.8958
30.2872,1.8994
30.2877,1.8817
30.2883,1.8445
30.2888,1.7948
30.2894,1.7421
30.2899,1.6967
30.2905,1.6659
30.2910,1.6541
30.2915,1.6614
30.2921,1.6850
30.2926,1.7202
30.2932,1.7613
30.2937,1.8028
30.2943,1.8398
30.2948,1.8682
30.2954,1.8853
30.2959,1.8892
30.2965,1.8790
30.2970,1.8563
30.2976,1.8258
30.2982,1.7956
30.2987,1.7755
30.2993,1.7733
30.2998,1.7905
30.3004,1.8210
30.3009,1.8534
30.3015,1.8761
30.3020,1.8818
30.3026,1.8686
30.3031,1.8390
30.3037,1.7977
30.3042,1.7503
30.3048,1.7035
30.3053,1.6649
30.3059,1.6413
30.3064,1.6360
30.3070,1.6468
30.3075,1.6654
30.3081,1.6795
30.3086,1.6776
30.3092,1.6554
30.3097,1.6192
30.3103,1.5828
30.3108,1.5616
30.3114,1.5639
30.3119,1.5879
30.3125,1.6227
30.3130,1.6541
30.3136,1.6714
30.3141,1.6715
30.3147,1.6603
30.3152,1.6499
30.3158,1.6531
30.3163,1.6767
30.3169,1.7186
30.3174,1.7686
30.3180,1.8136
30.3185,1.8431
30.3191,1.8524
30.3196,1.8432
30.3202,1.8210
30.3207,1.7919
30.3213,1.7611
30.3218,1.7328
30.3224,1.7106
30.3229,1.6987
30.3235,1.7002
30.3240,1.7171
30.3246,1.7483
30.3251,1.7896
30.3257,1.8331
30.3262,1.8688
30.3268,1.8868
30.3273,1.8813
30.3279,1.8528
30.3284,1.8087
30.3290,1.7605
30.3295,1.7204
30.3300,1.6971
30.3306,1.6945
30.3311,1.7116
30.3317,1.7431
30.3322,1.7807
30.3328,1.8151
30.3333,1.8388
30.3339,1.8477
30.3344,1.8426
30.3350,1.8286
30.3355,1.8131
30.3361,1.8021
30.3366,1.7975
30.3372,1.7966
30.3377,1.7939
30.3383,1.7850
30.3388,1.7694
30.3394,1.7506
30.3399,1.7340
30.3405,1.7248
30.3410,1.7249
30.3416,1.7319
30.3421,1.7411
30.3427,1.7481
30.3432,1.7520
30.3438,1.7553
30.3443,1.7623
30.3449,1.7745
30.3454,1.7891
30.3460,1.7990
30.3465,1.7975
30.3471,1.7822
30.3476,1.7569
30.3482,1.7297
30.3487,1.7091
30.3493,1.7003
30.3498,1.7038
30.3504,1.7163
30.3509,1.7329
30.3515,1.7482
30.3520,1.7582
30.3526,1.7605
30.3531,1.7543
30.3537,1.7401
30.3542,1.7199
30.3548,1.6969
30.3553,1.6748
30.3559,1.6567
30.3564,1.6440
30.3570,1.6365
30.3575,1.6334
30.3581,1.6338
30.3586,1.6377
30.3592,1.6457
30.3597,1.6584
30.3603,1.6748
30.3608,1.6920
30.3614,1.7050
30.3619,1.7081
30.3625,1.6969
30.3630,1.6708
30.3636,1.6327
30.3641,1.5888
30.3647,1.5468
30.3652,1.5149
30.3658,1.5007
30.3663,1.5091
30.3669,1.5391
30.3675,1.5827
30.3681,1.6266
30.3687,1.6575
30.3693,1.6680
30.3699,1.6594
30.3705,1.6400
30.3711,1.6215
30.3717,1.6133
30.3723,1.6196
30.3729,1.6383
30.3735,1.6625
30.3741,1.6823
30.3747,1.6883
30.3752,1.6741
30.3758,1.6381
30.3764,1.5850
30.3770,1.5246
30.3776,1.4695
30.3782,1.4308
30.3788,1.4140
30.3793,1.4183
30.3799,1.4367
30.3804,1.4603
30.3810,1.4826
30.3815,1.5021
30.3821,1.5221
30.3827,1.5471
30.3833,1.5784
30.3838,1.6116
30.3844,1.6387
30.3849,1.6516
30.3855,1.6464
30.3860,1.6255
30.3866,1.5972
30.3871,1.5720
30.3877,1.5587
30.3882,1.5612
30.3888,1.5764
30.3893,1.5958
30.3899,1.6094
30.3905,1.6096
30.3910,1.5954
30.3916,1.5735
30.3921,1.5551
30.3927,1.5509
30.3932,1.5656
30.3938,1.5951
30.3943,1.6277
30.3949,1.6487
30.3954,1.6467
30.3960,1.6176
30.3965,1.5664
30.3971,1.5051
30.3977,1.4481
30.3982,1.4067
30.3988,1.3867
30.3994,1.3871
30.3999,1.4018
