с,В
0.0000,2.1216
0.0006,2.1115
0.0011,2.1216
0.0016,2.1166
0.0022,2.1166
0.0027,2.1216
0.0033,2.1216
0.0038,2.1216
0.0043,2.1216
0.0049,2.1216
0.0054,2.1216
0.0059,2.1166
0.0064,2.1166
0.0070,2.1166
0.0075,2.1216
0.0080,2.1166
0.0086,2.1115
0.0091,2.1216
0.0096,2.1216
0.0102,2.1166
0.0107,2.1115
0.0113,2.1216
0.0118,2.1216
0.0124,2.1216
0.0129,2.1166
0.0134,2.1216
0.0140,2.1216
0.0145,2.1216
0.0151,2.1216
0.0157,2.1216
0.0162,2.1216
0.0167,2.1216
0.0173,2.1115
0.0178,2.1166
0.0184,2.1166
0.0189,2.1216
0.0195,2.1216
0.0200,2.1216
0.0205,2.1216
0.0211,2.1216
0.0216,2.1216
0.0221,2.1216
0.0226,2.1216
0.0232,2.1166
0.0237,2.1166
0.0242,2.1216
0.0247,2.1216
0.0253,2.1166
0.0258,2.1216
0.0263,2.1166
0.0269,2.1216
0.0274,2.1216
0.0280,2.1166
0.0285,2.1166
0.0290,2.1216
0.0296,2.1166
0.0301,2.1115
0.0306,2.1166
0.0312,2.1115
0.0317,2.1166
0.0322,2.1216
0.0327,2.1216
0.0333,2.1115
0.0338,2.1166
0.0343,2.1166
0.0349,2.1216
0.0355,2.1166
0.0360,2.1216
0.0365,2.1216
0.0371,2.1216
0.0376,2.1216
0.0381,2.1216
0.0387,2.1166
0.0393,2.1216
0.0399,2.1216
0.0405,2.1216
0.0410,2.1216
0.0416,2.1115
0.0421,2.1166
0.0427,2.1166
0.0432,2.1166
0.0437,2.1216
0.0443,2.1216
0.0448,2.1166
0.0453,2.1216
0.0458,2.1166
0.0464,2.1216
0.0469,2.1216
0.0474,2.1166
0.0480,2.1216
0.0486,2.1166
0.0493,2.1166
0.0499,2.1115
0.0505,2.1166
0.0511,2.1216
0.0517,2.1166
0.0523,2.1115
0.0529,2.1166
0.0535,2.1216
0.0540,2.1216
0.0546,2.1216
0.0551,2.1115
0.0557,2.1166
0.0564,2.1115
0.0570,2.1216
0.0575,2.1115
0.0581,2.1115
0.0587,2.1166
0.0592,2.1216
0.0598,2.1216
0.0604,2.1216
0.0610,2.1166
0.0615,2.1216
0.0621,2.1115
0.0628,2.1216
0.0634,2.1166
0.0641,2.1166
0.0647,2.1216
0.0653,2.1166
0.0659,2.1166
0.0665,2.1166
0.0670,2.1216
0.0676,2.1166
0.0682,2.1216
0.0689,2.1216
0.0695,2.1166
0.0701,2.1166
0.0707,2.1216
0.0714,2.1216
0.0720,2.1216
0.0726,2.1216
0.0733,2.1216
0.0739,2.1267
0.0745,2.1216
0.0751,2.1166
0.0756,2.1216
0.0762,2.1166
0.0767,2.1216
0.0773,2.1216
0.0778,2.1166
0.0784,2.1166
0.0789,2.1216
0.0795,2.1216
0.0801,2.1115
0.0806,2.1216
0.0812,2.1216
0.0817,2.1216
0.0823,2.1166
0.0828,2.1216
0.0834,2.1166
0.0840,2.1166
0.0846,2.1216
0.0852,2.1216
0.0859,2.1216
0.0865,2.1216
0.0872,2.1216
0.0878,2.1216
0.0884,2.1216
0.0889,2.1166
0.0894,2.1216
0.0900,2.1216
0.0905,2.1216
0.0910,2.1216
0.0915,2.1216
0.0921,2.1216
0.0926,2.1216
0.0931,2.1166
0.0936,2.1216
0.0942,2.1216
0.0947,2.1216
0.0952,2.1115
0.0958,2.1166
0.0963,2.1216
0.0968,2.1216
0.0973,2.1216
0.0979,2.1216
0.0984,2.1166
0.1019,2.1166
0.1025,2.1166
0.1030,2.1166
0.1036,2.1166
0.1042,2.1216
0.1047,2.1166
0.1053,2.1166
0.1059,2.1216
0.1064,2.1216
0.1070,2.1216
0.1076,2.1216
0.1081,2.1064
0.1087,2.1115
0.1093,2.1166
0.1099,2.1064
0.1104,2.1166
0.1110,2.1115
0.1116,2.1166
0.1121,2.1216
0.1127,2.1216
0.1133,2.1216
0.1139,2.1216
0.1145,2.1166
0.1150,2.1216
0.1156,2.1166
0.1162,2.1166
0.1167,2.1115
0.1173,2.1216
0.1179,2.1216
0.1184,2.1216
0.1190,2.1216
0.1196,2.1216
0.1201,2.1115
0.1207,2.1166
0.1213,2.1166
0.1219,2.1216
0.1226,2.1216
0.1233,2.1216
0.1239,2.1216
0.1246,2.1064
0.1252,2.1216
0.1258,2.1267
0.1265,2.1216
0.1271,2.1166
0.1277,2.1216
0.1283,2.1267
0.1289,2.1216
0.1296,2.1166
0.1303,2.1216
0.1310,2.1216
0.1316,2.1115
0.1324,2.1115
0.1331,2.1216
0.1338,2.1216
0.1345,2.1216
0.1352,2.1216
0.1358,2.1166
0.1364,2.1216
0.1371,2.1216
0.1377,2.1166
0.1383,2.1216
0.1389,2.1216
0.1396,2.1216
0.1403,2.1216
0.1410,2.1216
0.1416,2.1115
0.1423,2.1216
0.1430,2.1216
0.1436,2.1216
0.1443,2.1166
0.1449,2.1216
0.1456,2.1166
0.1462,2.1216
0.1468,2.1216
0.1475,2.1166
0.1481,2.1166
0.1488,2.1166
0.1494,2.1216
0.1500,2.1064
0.1506,2.1166
0.1512,2.1216
0.1518,2.1216
0.1524,2.1166
0.1530,2.1216
0.1536,2.1216
0.1542,2.1216
0.1548,2.1166
0.1554,2.1216
0.1560,2.1166
0.1566,2.1216
0.1572,2.1166
0.1579,2.1115
0.1585,2.1216
0.1591,2.1216
0.1597,2.1115
0.1603,2.1216
0.1609,2.1216
0.1615,2.1166
0.1621,2.1115
0.1627,2.1216
0.1633,2.1115
0.1639,2.1216
0.1645,2.1115
0.1651,2.1115
0.1657,2.1166
0.1663,2.1216
0.1669,2.1216
0.1675,2.1216
0.1680,2.1216
0.1686,2.1216
0.1692,2.1115
0.1697,2.1166
0.1703,2.1216
0.1709,2.1166
0.1714,2.1216
0.1720,2.1166
0.1726,2.1115
0.1731,2.1216
0.1737,2.1216
0.1742,2.1216
0.1748,2.1216
0.1753,2.1115
0.1759,2.1166
0.1765,2.1216
0.1770,2.1216
0.1776,2.1115
0.1781,2.1216
0.1787,2.1115
0.1793,2.1166
0.1798,2.1216
0.1804,2.1216
0.1810,2.1216
0.1815,2.1166
0.1821,2.1216
0.1827,2.1216
0.1833,2.1166
0.1839,2.1216
0.1845,2.1216
0.1850,2.1216
0.1856,2.1166
0.1862,2.1166
0.1868,2.1166
0.1873,2.1166
0.1879,2.1216
0.1884,2.1166
0.1890,2.1166
0.1896,2.1166
0.1902,2.1216
0.1907,2.1216
0.1913,2.1216
0.1919,2.1115
0.1924,2.1166
0.1930,2.1166
0.1936,2.1166
0.1941,2.1166
0.1947,2.1115
0.1952,2.1216
0.1958,2.1216
0.1964,2.1216
0.1970,2.1166
0.1975,2.1166
0.1981,2.1216
0.1987,2.1166
0.1992,2.1166
0.1997,2.1115
0.2003,2.1166
0.2008,2.1216
0.2013,2.1166
0.2018,2.1166
0.2024,2.1115
0.2029,2.1166
0.2034,2.1166
0.2040,2.1216
0.2046,2.1216
0.2052,2.1216
0.2057,2.1166
0.2063,2.1115
0.2068,2.1216
0.2074,2.1216
